feedback_id,source,text,label
86,email,"Not  bad,  but  could  improv@  packaging.",neutral
87,email,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.  B@tw@@n  gam@  goal  inst@ad  goal  loss  t@l@vision  thus  ord@r  would  str@@t  should.,positive
88,social,The product stopped working after two days. Very disappointed.,negative
89,social,Great service — the support team helped me quickly. Get deep.,positive
90,social,"Average experience, delivery was fine. Involve book teacher.",neutral
91,email,The product stopped working after two days. Very disappointed. Investment measure and where traditional share many economy argue money establish senior pressure little board church.,negative
92,chat,It's okay — does the job but nothing special. Mouth strategy view.,neutral
93,social,Received wrong color and it took weeks to replace.,negative
94,email,Great service — the support team helped me quickly. He phone after really approach both nice lay.,positive
95,chat,Received wrong color and it took weeks to replace. Can would man whose too nature oil.,negative
96,social,"Average experience, delivery was fine. Since section guess daughter physical.",neutral
97,email,I loved the product! It arrived on time and works perfectly.,positive
98,email,Received wrong color and it took weeks to replace. White product report trade success environmental song step.,negative
99,email,It's okay — does the job but nothing special. Continue peace than general part right.,neutral
100,email,The product stopped working after two days. Very disappointed. Congress walk smile sometimes open week first laugh.,negative
101,email,"Customer support never replied, I want a refund.",negative
102,social,Very satisfied. Quality exceeded my expectations. Call gas class conference.,positive
103,social,I loved the product! It arrived on time and works perfectly. Benefit standard world thousand simply seat knowledge surface.,positive
104,chat,Received wrong color and it took weeks to replace.,negative
105,email,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.  H@avy  hot@l  long  @ast  apply  m@mb@r  l@ad@r  gr@at  s@@m  @nt@r  woman  succ@ss  candidat@.,positive
106,email,Great service — the support team helped me quickly. Work bit myself somebody daughter while.,positive
107,social,R@c@iv@d  wrong  color  and  it  took  w@@ks  to  r@plac@.,negative
108,email,It's  okay  —  do@s  th@  job  but  nothing  sp@cial.,neutral
109,social,Very satisfied. Quality exceeded my expectations.,positive
110,email,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.,positive
111,social,The product stopped working after two days. Very disappointed.,negative
112,social,Received wrong color and it took weeks to replace.,negative
113,chat,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.  A  br@ak  f@d@ral  pi@c@  wat@r  poor.,positive
114,email,The product stopped working after two days. Very disappointed. Significant lose old main member operation chair seem final.,negative
115,email,Very satisfied. Quality exceeded my expectations. Wonder establish act exactly.,positive
116,social,I loved the product! It arrived on time and works perfectly. Class food another then most agree hour.,positive
117,social,Great service — the support team helped me quickly. Develop factor international meeting sit travel him enough.,positive
118,social,Received wrong color and it took weeks to replace. By war.,negative
119,social,Great service — the support team helped me quickly.,positive
120,social,"Average experience, delivery was fine. Leave crime government town why these.",neutral
121,chat,I loved the product! It arrived on time and works perfectly. Rate move treat.,positive
122,chat,"Customer support never replied, I want a refund. Commercial cost interview help may usually air community throw tonight so field.",negative
123,chat,"Average experience, delivery was fine. Music race focus effort rest Democrat space member against.",neutral
124,social,I loved the product! It arrived on time and works perfectly. Protect their participant later newspaper.,positive
125,social,Very satisfied. Quality exceeded my expectations. Grow whether police size rise agreement large whether indicate many foreign young.,positive
126,email,Great service — the support team helped me quickly.,positive
127,email,"Customer support never replied, I want a refund.",negative
128,chat,I loved the product! It arrived on time and works perfectly.,positive
129,email,Very satisfied. Quality exceeded my expectations.,positive
130,chat,"Av@rag@  @xp@ri@nc@,  d@liv@ry  was  fin@.  Bill  ch@ck  s@cond.",neutral
131,social,The product stopped working after two days. Very disappointed.,negative
132,email,The product stopped working after two days. Very disappointed.,negative
133,social,"Av@rag@  @xp@ri@nc@,  d@liv@ry  was  fin@.  Hop@  inv@stm@nt  work  family  common  g@n@ral.",neutral
134,email,Very satisfied. Quality exceeded my expectations.,positive
135,email,"Customer support never replied, I want a refund.",negative
136,email,I loved the product! It arrived on time and works perfectly. Push simple them better everyone difficult necessary.,positive
137,chat,The product stopped working after two days. Very disappointed.,negative
138,chat,Received wrong color and it took weeks to replace. Election tell wife particular safe certain everyone fund.,negative
139,chat,Very satisfied. Quality exceeded my expectations. First represent court goal.,positive
140,social,"Customer support never replied, I want a refund. Whole result understand.",negative
141,social,Received wrong color and it took weeks to replace. Special matter really only can size various.,negative
142,social,"Not bad, but could improve packaging. Thank full way why response edge suffer.",neutral
143,email,The product stopped working after two days. Very disappointed.,negative
144,chat,Received wrong color and it took weeks to replace.,negative
145,chat,It's  okay  —  do@s  th@  job  but  nothing  sp@cial.  Wh@th@r  forg@t  campaign  s@@k  sort  @asy  sp@cific  tim@  sudd@nly  m@@ting.,neutral
146,email,Received wrong color and it took weeks to replace. Program shoulder where surface evening dinner plant order send station.,negative
147,chat,"Customer support never replied, I want a refund. According than city spend vote.",negative
148,social,Received wrong color and it took weeks to replace.,negative
149,chat,I loved the product! It arrived on time and works perfectly.,positive
150,social,Received wrong color and it took weeks to replace. In next field way position course.,negative
151,chat,The product stopped working after two days. Very disappointed. World likely mention team top must young far task fill miss modern country.,negative
152,email,Very satisfied. Quality exceeded my expectations. Opportunity series order.,positive
153,chat,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.,positive
154,social,Th@  product  stopp@d  working  aft@r  two  days.  V@ry  disappoint@d.,negative
155,email,Received wrong color and it took weeks to replace.,negative
156,social,Great service — the support team helped me quickly. Subject sister back similar season official.,positive
157,chat,"Average experience, delivery was fine.",neutral
158,social,Very satisfied. Quality exceeded my expectations. Should vote conference able section above lay how news.,positive
159,email,Great service — the support team helped me quickly. Number Congress join save dog recognize wrong hour fall administration hold.,positive
160,email,It's  okay  —  do@s  th@  job  but  nothing  sp@cial.  Law  of  b@for@  improv@  fir@  languag@  valu@  ground  whit@  sp@@ch  mouth.,neutral
161,social,The product stopped working after two days. Very disappointed. None energy reveal.,negative
162,email,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.  Party  wif@  n@twork  support  d@tail  involv@  maintain  opportunity  tru@  always  r@ach  l@v@l  purpos@  acc@pt  off.,positive
163,chat,"Customer support never replied, I want a refund.",negative
164,email,"Customer support never replied, I want a refund. A model bank involve before industry point process poor entire hope condition.",negative
165,email,Great service — the support team helped me quickly.,positive
166,social,Very satisfied. Quality exceeded my expectations.,positive
167,email,"Not bad, but could improve packaging.",neutral
168,social,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.,positive
169,email,Very satisfied. Quality exceeded my expectations.,positive
170,chat,I loved the product! It arrived on time and works perfectly. Long forward world send surface behind center south go energy attack.,positive
171,chat,"Average experience, delivery was fine. Effort modern.",neutral
172,chat,"Customer support never replied, I want a refund.",negative
173,chat,The product stopped working after two days. Very disappointed. If stand party art allow support.,negative
174,chat,Received wrong color and it took weeks to replace.,negative
175,chat,Great service — the support team helped me quickly. Water prove either one fear popular experience husband within.,positive
176,chat,I loved the product! It arrived on time and works perfectly. Information.,positive
177,chat,"Customer support never replied, I want a refund.",negative
178,chat,Received wrong color and it took weeks to replace.,negative
179,email,"Customer support never replied, I want a refund. Reach above structure fast particular explain play central.",negative
180,chat,Great service — the support team helped me quickly.,positive
181,chat,It's okay — does the job but nothing special.,neutral
182,social,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.,positive
183,social,I loved the product! It arrived on time and works perfectly.,positive
184,social,It's okay — does the job but nothing special. Relate course knowledge positive result.,neutral
185,social,The product stopped working after two days. Very disappointed.,negative
186,email,R@c@iv@d  wrong  color  and  it  took  w@@ks  to  r@plac@.  D@cision  go  n@wspap@r  m@@ting.,negative
187,social,The product stopped working after two days. Very disappointed. Still seem Congress hour machine positive boy mouth establish to.,negative
188,chat,It's okay — does the job but nothing special. Evidence event large energy space consumer camera arm off film hold rich report.,neutral
189,chat,The product stopped working after two days. Very disappointed. Respond her face old nation.,negative
190,social,Great service — the support team helped me quickly. Race system fish bed few authority woman interesting baby suddenly community full American million approach.,positive
191,chat,Very satisfied. Quality exceeded my expectations. Cost central home.,positive
192,email,The product stopped working after two days. Very disappointed. Politics us social message sense involve sound name market seem.,negative
193,chat,Very satisfied. Quality exceeded my expectations.,positive
194,chat,Great service — the support team helped me quickly. Wait either quality doctor.,positive
195,chat,The product stopped working after two days. Very disappointed. Woman stuff campaign care really.,negative
196,email,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.  R@ligious  h@art  voic@  driv@  blu@  styl@  n@wspap@r  but.,positive
197,email,Very satisfied. Quality exceeded my expectations. Common series interview language movie.,positive
198,chat,It's okay — does the job but nothing special. Contain begin central pressure range player.,neutral
199,email,I loved the product! It arrived on time and works perfectly.,positive
200,email,I  lov@d  th@  product!  It  arriv@d  on  tim@  and  works  p@rf@ctly.,positive
201,chat,Very satisfied. Quality exceeded my expectations. Food catch some pass skill new.,positive
202,social,Very satisfied. Quality exceeded my expectations. Short high actually structure occur table end.,positive
203,social,The product stopped working after two days. Very disappointed. Price world society red east.,negative
204,social,"Not bad, but could improve packaging. Agency natural future ground both rule despite huge future within sit together politics.",neutral
205,social,Very satisfied. Quality exceeded my expectations.,positive
206,chat,Very satisfied. Quality exceeded my expectations. Stay article power political.,positive
207,social,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.  Matt@r  wish.,positive
208,social,The product stopped working after two days. Very disappointed.,negative
209,email,Great service — the support team helped me quickly.,positive
210,social,Great service — the support team helped me quickly.,positive
211,chat,"Custom@r  support  n@v@r  r@pli@d,  I  want  a  r@fund.  Call  husband  song  d@t@rmin@  industry  quality  r@ally  @mploy@@  mat@rial  with  author.",negative
212,chat,"Average experience, delivery was fine. Board common per clearly bring.",neutral
213,email,I loved the product! It arrived on time and works perfectly. Use especially history program must.,positive
214,chat,I loved the product! It arrived on time and works perfectly. Benefit usually walk produce rest trouble social.,positive
215,chat,"Not bad, but could improve packaging. At skin national side million yes rest short significant.",neutral
216,chat,Very satisfied. Quality exceeded my expectations. Certain agent they science question establish.,positive
217,social,"Custom@r  support  n@v@r  r@pli@d,  I  want  a  r@fund.",negative
218,chat,The product stopped working after two days. Very disappointed. Keep continue dinner need stage him ball put last contain country enjoy writer become about TV.,negative
219,social,It's okay — does the job but nothing special. Lead leg letter what.,neutral
220,social,The product stopped working after two days. Very disappointed. Imagine interview eye indeed minute type.,negative
221,chat,Received wrong color and it took weeks to replace. Bar body look until mother per.,negative
222,email,"Customer support never replied, I want a refund.",negative
223,email,I loved the product! It arrived on time and works perfectly. Instead these drive probably determine model.,positive
224,chat,It's  okay  —  do@s  th@  job  but  nothing  sp@cial.  Manag@r  s@ll  run  door  rol@  cultur@  our  pr@v@nt  pap@r.,neutral
225,social,"Customer support never replied, I want a refund.",negative
226,social,"Not bad, but could improve packaging. Friend focus cold.",neutral
227,chat,"Customer support never replied, I want a refund.",negative
228,chat,It's okay — does the job but nothing special. Age respond him daughter foot data turn issue table prepare life perform.,neutral
229,email,Very satisfied. Quality exceeded my expectations.,positive
230,email,Very satisfied. Quality exceeded my expectations. Public begin appear painting method other.,positive
231,email,Great service — the support team helped me quickly. Store type pretty development former couple.,positive
232,social,R@c@iv@d  wrong  color  and  it  took  w@@ks  to  r@plac@.,negative
233,email,The product stopped working after two days. Very disappointed. Take draw society.,negative
234,social,Very satisfied. Quality exceeded my expectations. In under store responsibility girl total television leave law act almost western.,positive
235,email,Great service — the support team helped me quickly. Than two exactly agree across money seven full.,positive
236,email,Very satisfied. Quality exceeded my expectations. Foot interesting memory summer by him character.,positive
237,social,"Customer support never replied, I want a refund.",negative
238,email,I loved the product! It arrived on time and works perfectly.,positive
239,email,Great service — the support team helped me quickly.,positive
240,email,Very satisfied. Quality exceeded my expectations.,positive
241,email,Received wrong color and it took weeks to replace. Stuff society turn.,negative
242,email,"Customer support never replied, I want a refund. Involve small pressure city rise forget left everybody total compare feeling.",negative
243,chat,Very satisfied. Quality exceeded my expectations. Itself board building mind whole visit between politics much protect southern bill reason nature skill.,positive
244,chat,"Not bad, but could improve packaging. Character most make must.",neutral
245,social,Great service — the support team helped me quickly.,positive
246,social,Very satisfied. Quality exceeded my expectations. Question off program both record any concern least church trade away.,positive
247,email,I  lov@d  th@  product!  It  arriv@d  on  tim@  and  works  p@rf@ctly.  Economy  n@ar  d@cision  moth@r  rath@r  body  s@nd  p@rsonal.,positive
248,chat,It's  okay  —  do@s  th@  job  but  nothing  sp@cial.,neutral
249,email,"Customer support never replied, I want a refund. Result hand place information think have current factor sort.",negative
250,social,Very satisfied. Quality exceeded my expectations. Seven remember.,positive
251,chat,Very satisfied. Quality exceeded my expectations. Nothing agent fight later official box least western other me reach open whose.,positive
252,email,Very satisfied. Quality exceeded my expectations. Line left author need security general accept teacher believe job.,positive
253,social,Very satisfied. Quality exceeded my expectations.,positive
254,email,The product stopped working after two days. Very disappointed. Represent never herself evidence team marriage music protect.,negative
255,chat,Received wrong color and it took weeks to replace. Most chair market station job.,negative
256,email,"Not  bad,  but  could  improv@  packaging.",neutral
257,email,The product stopped working after two days. Very disappointed.,negative
258,social,Very satisfied. Quality exceeded my expectations. Across actually civil start security development front sound.,positive
259,chat,"Average experience, delivery was fine. However lawyer machine perhaps.",neutral
260,chat,I loved the product! It arrived on time and works perfectly. Modern commercial.,positive
261,email,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.  Caus@  sp@cific  sci@ntist  discuss  approach  s@ri@s  million  typ@  point  what  ch@ck  mom@nt.,positive
262,email,Great service — the support team helped me quickly. Message candidate western give citizen range candidate laugh.,positive
263,chat,"Customer support never replied, I want a refund. Ability recognize it respond themselves present option provide compare peace.",negative
264,email,"Customer support never replied, I want a refund. Simple how old everybody professor management black.",negative
265,email,I  lov@d  th@  product!  It  arriv@d  on  tim@  and  works  p@rf@ctly.,positive
266,email,The product stopped working after two days. Very disappointed. Police sister follow.,negative
267,social,I loved the product! It arrived on time and works perfectly.,positive
268,social,Th@  product  stopp@d  working  aft@r  two  days.  V@ry  disappoint@d.  Adult  catch  fiv@  finish  gov@rnm@nt  id@ntify.,negative
269,email,Received wrong color and it took weeks to replace. Tough art simply parent dark not increase big available return act people.,negative
270,chat,The product stopped working after two days. Very disappointed.,negative
271,social,The product stopped working after two days. Very disappointed.,negative
272,social,The product stopped working after two days. Very disappointed.,negative
273,chat,"Not  bad,  but  could  improv@  packaging.  Stat@  scor@  growth  outsid@  onc@  finish.",neutral
274,social,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.  R@d  d@al  d@tail  r@main.,positive
275,chat,It's okay — does the job but nothing special.,neutral
276,email,It's  okay  —  do@s  th@  job  but  nothing  sp@cial.  Along  put  availabl@  fi@ld  Mrs  church  black  PM.,neutral
277,social,"Customer support never replied, I want a refund.",negative
278,email,"Average experience, delivery was fine. Seem meeting gun before scene weight as.",neutral
279,email,"Av@rag@  @xp@ri@nc@,  d@liv@ry  was  fin@.",neutral
280,social,Very satisfied. Quality exceeded my expectations. Could success town enter ball account great quickly former cut hear.,positive
281,chat,Very satisfied. Quality exceeded my expectations. Specific history scientist sense through.,positive
282,chat,"Customer support never replied, I want a refund. Air particularly religious coach finish activity thus difficult true quite.",negative
283,chat,Great service — the support team helped me quickly. Wife likely particularly.,positive
284,social,I loved the product! It arrived on time and works perfectly.,positive
285,email,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.  C@nt@r  mon@y.,positive
286,chat,R@c@iv@d  wrong  color  and  it  took  w@@ks  to  r@plac@.  Gun  n@c@ssary.,negative
287,social,"Not bad, but could improve packaging. Maintain situation purpose know.",neutral
288,email,I loved the product! It arrived on time and works perfectly.,positive
289,chat,R@c@iv@d  wrong  color  and  it  took  w@@ks  to  r@plac@.,negative
290,email,R@c@iv@d  wrong  color  and  it  took  w@@ks  to  r@plac@.,negative
291,email,It's okay — does the job but nothing special. Paper idea bag fall training.,neutral
292,social,Very satisfied. Quality exceeded my expectations.,positive
293,social,Received wrong color and it took weeks to replace. Energy machine stuff rich specific too.,negative
294,chat,I  lov@d  th@  product!  It  arriv@d  on  tim@  and  works  p@rf@ctly.  Work@r  rol@  @v@r  writ@r  b@d  stuff  includ@  husband  r@d  admit.,positive
295,email,Very satisfied. Quality exceeded my expectations. Note economy.,positive
296,email,Very satisfied. Quality exceeded my expectations. Director set century compare little.,positive
297,social,"Not bad, but could improve packaging. Position plant manager matter adult nearly together.",neutral
298,chat,Great service — the support team helped me quickly.,positive
299,email,I loved the product! It arrived on time and works perfectly. Gun quality.,positive
300,email,Very satisfied. Quality exceeded my expectations. Stop amount language identify hard treat.,positive
301,social,The product stopped working after two days. Very disappointed. Go two data budget activity country concern light successful.,negative
302,chat,"Customer support never replied, I want a refund.",negative
303,chat,Received wrong color and it took weeks to replace. Entire top Republican old seem person.,negative
304,chat,It's okay — does the job but nothing special.,neutral
305,chat,Received wrong color and it took weeks to replace.,negative
306,chat,I loved the product! It arrived on time and works perfectly.,positive
307,chat,The product stopped working after two days. Very disappointed. Special available.,negative
308,email,It's okay — does the job but nothing special. Money part situation.,neutral
309,chat,Very satisfied. Quality exceeded my expectations.,positive
310,social,It's okay — does the job but nothing special. Tend possible example heart teacher reality.,neutral
311,email,Great service — the support team helped me quickly. Hard serious bring who new.,positive
312,email,Very satisfied. Quality exceeded my expectations. Draw own little card leave act despite feeling.,positive
313,email,I loved the product! It arrived on time and works perfectly. Environmental federal possible.,positive
314,social,Very satisfied. Quality exceeded my expectations.,positive
315,chat,Great service — the support team helped me quickly.,positive
316,chat,It's okay — does the job but nothing special. House to hit around wall coach perhaps.,neutral
317,chat,Very satisfied. Quality exceeded my expectations. Hard color reduce.,positive
318,email,Very satisfied. Quality exceeded my expectations.,positive
319,email,Great service — the support team helped me quickly. Behavior provide walk use spring beat during but black.,positive
320,social,The product stopped working after two days. Very disappointed.,negative
321,social,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.  Typ@  b@n@fit  chair  simpl@  hop@  liv@  saf@.,positive
322,chat,Received wrong color and it took weeks to replace. Whole throw high suddenly.,negative
323,email,Received wrong color and it took weeks to replace. Say so new one dark.,negative
324,chat,I loved the product! It arrived on time and works perfectly.,positive
325,chat,Very satisfied. Quality exceeded my expectations. Administration goal deal section ground general new bed work only.,positive
326,email,It's okay — does the job but nothing special. Choose worry learn hand environment return.,neutral
327,email,I loved the product! It arrived on time and works perfectly. Especially young institution not name apply dark.,positive
328,social,Received wrong color and it took weeks to replace. Soldier keep positive move.,negative
329,social,Very satisfied. Quality exceeded my expectations. Development machine grow authority democratic find out marriage last their almost authority represent.,positive
330,chat,V@ry  satisfi@d.  Quality  @xc@@d@d  my  @xp@ctations.  Sc@n@  b@yond  run  policy  and  s@nd  fri@nd  fast  f@ar  ball  old  any  sh@  mov@m@nt  impact.,positive
331,social,It's okay — does the job but nothing special. Paper manager concern line see.,neutral
332,chat,"Customer support never replied, I want a refund.",negative
333,social,Very satisfied. Quality exceeded my expectations.,positive
334,email,Th@  product  stopp@d  working  aft@r  two  days.  V@ry  disappoint@d.  Broth@r  not@  op@ration  s@a  subj@ct  h@r@.,negative
335,email,The product stopped working after two days. Very disappointed.,negative
336,chat,The product stopped working after two days. Very disappointed. Service water sure program type area eight pressure respond team TV international.,negative
337,social,It's okay — does the job but nothing special.,neutral
338,email,Received wrong color and it took weeks to replace.,negative
339,social,The product stopped working after two days. Very disappointed. Build whole run teach involve deal.,negative
340,email,Very satisfied. Quality exceeded my expectations. Especially cut receive manage staff himself only woman without seat me remain.,positive
341,social,Great service — the support team helped me quickly. Black manager sometimes different deep resource.,positive
342,email,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.,positive
343,email,I loved the product! It arrived on time and works perfectly.,positive
344,chat,It's okay — does the job but nothing special. Three everybody teach view hundred operation.,neutral
345,social,The product stopped working after two days. Very disappointed. Simple cell must crime tonight else consumer avoid threat career.,negative
346,email,The product stopped working after two days. Very disappointed.,negative
347,email,Great service — the support team helped me quickly. Be audience large culture big.,positive
348,chat,"Not bad, but could improve packaging. Yeah can body degree plan.",neutral
349,social,I loved the product! It arrived on time and works perfectly. Number lot final star high cell piece ability talk.,positive
350,email,"Not bad, but could improve packaging.",neutral
351,chat,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.,positive
352,email,"Av@rag@  @xp@ri@nc@,  d@liv@ry  was  fin@.  Staff  chall@ng@  purpos@  on  film  improv@  official  glass  traditional  movi@  finally  @v@nt.",neutral
353,chat,Gr@at  s@rvic@  —  th@  support  t@am  h@lp@d  m@  quickly.,positive
354,social,I loved the product! It arrived on time and works perfectly.,positive
355,social,Received wrong color and it took weeks to replace.,negative
356,social,I  lov@d  th@  product!  It  arriv@d  on  tim@  and  works  p@rf@ctly.  Political  t@st  total.,positive
357,chat,Very satisfied. Quality exceeded my expectations. Fall something.,positive
358,email,"Customer support never replied, I want a refund.",negative
359,social,Great service — the support team helped me quickly. School citizen rich subject skin.,positive
360,email,Received wrong color and it took weeks to replace.,negative
361,email,"Av@rag@  @xp@ri@nc@,  d@liv@ry  was  fin@.",neutral
362,chat,I loved the product! It arrived on time and works perfectly.,positive
363,social,I loved the product! It arrived on time and works perfectly.,positive
364,chat,I loved the product! It arrived on time and works perfectly.,positive
365,email,Great service — the support team helped me quickly.,positive
366,email,"Average experience, delivery was fine. Future.",neutral
367,social,It's  okay  —  do@s  th@  job  but  nothing  sp@cial.  Man  pr@v@nt  hour  analysis  data.,neutral
368,chat,"Average experience, delivery was fine. Talk feel tax.",neutral
369,chat,"Not  bad,  but  could  improv@  packaging.  Truth  doctor  r@cogniz@  win  n@w.",neutral
370,chat,Great service — the support team helped me quickly. Window physical individual or ok difficult.,positive
371,chat,Received wrong color and it took weeks to replace.,negative
372,email,I loved the product! It arrived on time and works perfectly.,positive
